Area,Career Level,Company,Company Website,Data Source,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Description,Job Functions,Job Highlights,Job Link,Job Title,Job Type,Qualification,Salary,Search Term,Jobtick Avgsalary,Jobtick Productjobs,Jobtick Prototyping,Jobtick Research,Jobtick Uiuxjobs,Jobtick Webmobileappjobs,Jobtick Wireframing,Jobtick Writing,Lower Salary Range,Upper Salary Range,Years of Experience
Not Specified,Entry,Talent Fields Hong Kong Company Limited,Not Specified,JobsDB,10-22-2021,22-10-2021,,,Human Resources Management/Consultancy,"['As a UX/UI Designer, you will:', 'Work with a multidisciplinary team to deliver beautiful user experiences across multiple platforms, ', 'This may include websites, applications and other touch-points', 'Conduct user research including contextual interviews, usability testing, and present findings to the team', 'Define and deliver interaction designs, UI patterns', 'Define and deliver interaction design flows, scenarios, and visual design language', 'Help contribute and refine UI pattern libraries and design guidelines', 'Work within Cathay Pacific quality standards, process, schedule and deliverables', 'Bring a multidisciplinary point of view of product design to the conversation', 'Effectively communicate with development and business teams through all stages of design and development', 'Be able to focus on user needs and how your design will solve their pain points.', 'Ability to self-motivate and deliver results in timely fashion', 'Collaborate, create, and help the team deliver', 'Qualifications', '2+ ","Information Technology (IT), UI/UX Designer","['2 - 3 years of work related experience in UXUI', 'Refine UI pattern libraries and design guidelines', 'MNC culture']",/hk/en/job/junior-ui-web-designer-up-to-30-38k-mnc-100003008838436,Junior UI & Web Designer - up to 30 - 38k MNC,"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,,,1,,,,,,-1
Not Specified,Middle,Marvelconnect Technology Limited,Not Specified,JobsDB,10-22-2021,22-10-2021,,,Information Technology,"['Responsibilities:', '- Create flow chat for Mobile apps and Websites', '- Create user interface designs for Mobile apps and Websites', '- Work closely with app developers and product manager to ensure that the graphic design maintains a high standard of quality', 'Requirements:', '- Higher Diploma or above in Web, Graphic, Multimedia Design or related disciplines', '- 2 years or above of relevant experience preferred', '- Proficient in Adobe XD or Figma', '- Proficient in Photoshop', '- High responsibility', '- Proactive and independent', '- Immediate available is highly preferred']","Information Technology (IT), Application Specialist - Software, IT Management, UI/UX Designer","['5 days work', 'Year end bonus', 'Medical Insurance']",/hk/en/job/ui-designer-100003008838567,UI Designer,Full Time,Not Specified,Not Specified,UI UX Designer,,,,,1,,,,,,21
Not Specified,Entry,Arch Partnership Limited,https://www.arch-partnership.com/,JobsDB,10-22-2021,22-10-2021,,,Information Technology,"['Job Description', 'We are looking for\xa0', 'UX / UI Designer', '\xa0', 'to join us in delivering transformative customer experience for both public and private sector.', 'The Role', 'Conduct research, user workshop/ interviews, user testing, etc.', 'Design and develop information architecture, interactions model, user interface, user flow for web and mobile apps.', 'Create wireframes, page flow, interactive prototypes and design mock-up', 'Work closely with development and project team to ensure the quality of design and user experience', 'Stay current with latest UX/UI trends, technology, tools and usability\xa0best practices', 'We are looking for candidate with', 'Bachelor’s Degree in HCI Design / Interaction Design / Software Engineering or related discipline', 'At least 2 years of experience in ', 'UX design of digital products/services', 'Proven portfolio with samples /\xa0illustrations of ', 'UX design for digital services', 'Understanding of user-centered design, UX principles as well as design syst","Information Technology (IT), Software Development, Others, UI/UX Designer","['Figma, InVision, Zeplin, Adobe XD', 'Young & energetic company, fun to work with, 5 day', 'HCI Design/Interaction Design/Software Engineering']",/hk/en/job/ux-ui-designer-100003008838037,UX/UI Designer,"Full Time, Permanent",Degree,Not Specified,UI UX Designer,,,1,1,1,,1,,,,2
Not Specified,Entry,PCCW Solutions,http://www.pccwsolutions.com,JobsDB,10-22-2021,22-10-2021,,,Information Technology,"['Summary', 'The successful candidate will be part of the UI/UX team and participate in a Digital Transformation Project in Hong Kong – Responsible for collecting, researching and evaluating user requirements, designing graphic elements, and to deliver an outstanding user experience.', 'Job Duties', 'He / She will be responsible for creating the UI and optimal experience for users in different media and platforms performing detailed requirements analysis and documenting processes with the following scope of duties:', 'Collaborate with product management and development team to define and implement innovative solutions for the product direction, visuals and experience', 'Create personas through user research and data', 'Understand product specifications and user psychology', 'Define the right interaction model and evaluate its success', 'Find creative ways to solve UX problems (e.g. usability, findability)', 'Communicate design ideas and prototypes to the team and developers', 'Develop wireframes and prototype","Design, Industrial / Product, Web Designer, Information Technology (IT), Others","['UI/Web Designer', ""3 years' experience as a UI/UX designer"", 'Candidate with less experience will be considered as Junior UI/Web designer']",/hk/en/job/ui-web-designer-100003008836580,UI/Web Designer,Full Time,Degree,Not Specified,UI UX Designer,,,1,1,1,1,1,,,,2
Not Specified,Entry,Hutchison Telecommunications (Hong Kong) Limited,Not Specified,JobsDB,10-22-2021,22-10-2021,,,Telecommunication,"['Responsibilities:', 'Identify design problems and develop the most efficient solutions with clear understanding of business goals and user behavior.', 'Identify and prioritize improvements to increase customer satisfaction, simplify their experience and drive conversions across the sales funnel.\xa0', 'Design and deliver wireframes, user stories, user journeys, information architecture and UI functional specification for web and mobile application.\xa0', 'Demonstrate proficiency in balancing user goals, technology needs, and business objectives.\xa0', 'Requirements:', 'Higher Diploma or above in Commercial Design or Graphic Design', '3-5 years or above working experiences in UI/UX design field', 'Strong experience with split (A/B) testing\xa0', 'Excellent problem-solving skills', 'Good written and spoken English and Chinese (including\xa0Mandarin)\xa0is a must', 'Candidates with less experiences to be considered as UI/UX Designer.', 'Apart from competitive remuneration package and exciting opportunity for c","Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Identify design problems and develop solutions', 'Design and deliver wireframes and user stories etc', 'Experience in UI/UX design field']",/hk/en/job/senior-ui-ux-designer-100003008834786,Senior UI/UX Designer,"Full Time, Permanent",Non-Degree Tertiary,Not Specified,UI UX Designer,,,,,1,,1,,,,3
Not Specified,Entry,Green Tomato Limited,http://www.gtomato.com,JobsDB,10-22-2021,22-10-2021,,,Telecommunication,"['We are hiring talent like you!', 'Senior UI/UX Designer is a key member for us. He/ She is responsible for designing projects from ideas to finished products and Mobile App Creative & Design.', 'Your role will include the following duties:', '\xa0', 'Working closely with business stakeholders, product owners and business analysts to translate user stories/business requirements into digital experiences.', 'Driving user research activities such as stakeholder interview, survey, A/B testing, usability testing, learn about user behavior and translate research findings into possible solutions.', 'Being responsible for providing high quality deliverables such as user journeys, user flows, wireframes, UI mock-ups and prototypes for digital platforms and products.', 'Developing pixel-perfect UI and ensuring design consistency between digital platforms.', 'Collaborating closely in agile delivery teams with business analysts, developers, quality assurance analysts, product owners and other designers.', 'Identifying d","Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Mobile Application or Web UI/UX Design', 'Birthday Leave', 'Happy and harmonious working environment']",/hk/en/job/senior-ui-ux-designer-100003008834735,Senior UI/UX Designer,"Full Time, Permanent",Matriculated,Not Specified,UI UX Designer,,,1,1,1,,1,,,,2
Not Specified,Middle,Next Sourcing Limited,http://www.next.co.uk,JobsDB,10-21-2021,22-10-2021,,,Clothing/Garment/Textile,"['Job Responsibility Including But Not Limited To:', 'Gather and evaluate user requirements in collaboration with teams', 'Developing and conceptualizing a comprehensive UI/UX design strategy for the brand', 'Producing high-quality UX design solutions through wireframes, visual and graphic designs, flow diagrams, storyboards, site maps, and prototypes', 'Plan and develop new visual designs for computers, smartphones and digital products', 'Design graphic user interface elements, like menus, tabs and widgets', 'Build page navigation buttons and search fields', 'Develop UI mockups and prototypes that clearly illustrate how sites function and look like', 'Create original graphic designs (e.g. images, sketches and tables)', 'Prepare and present rough drafts to teams and key stakeholders', 'Identify and troubleshoot UX problems', 'Providing advice and guidance on the implementation of UX research methodologies and testing activities in order to analyze and predict user behavior', 'Adhering to style standards on ty","Information Technology (IT), Others, UI/UX Designer","['Minimum of 5 years UI/UX design experience', 'UI/UX design work for both web and mobile platform', '5 days work week']",/hk/en/job/ux-ui-designer-100003008833503,UX/UI Designer,"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,1,1,1,,1,,,,-1
Not Specified,Entry,Recruit Express (Hong Kong) Limited,http://www.recruitexpress.com.hk,JobsDB,10-21-2021,22-10-2021,"['2175 0698', '9522 5779']",['christy.so @recruitexpress.com.hk'],Human Resources Management/Consultancy,"['JOB DESCRIPTION', 'Prepare UX/UI design and materials including wire framing, mockup and rapid prototyping for software\xa0', 'Build page navigation buttons and search fields', 'Gather and evaluate user requirements in collaboration with product managers and engineers', 'Illustrate design ideas using storyboards, process flows and sitemaps', 'Design graphic user interface elements, like menus, tabs and widgets', 'Develop UI mockups and prototypes that clearly illustrate how sites function and look like', 'QUALIFICATION', '1 year or above professional experience in designing software, websites and mobile apps', 'Knowledge of wireframe tools (e.g. whimsical and Adobe XD)', 'Up-to-date knowledge of design software like Adobe Illustrator and Photoshop', 'Reasons to join:', 'Excellent learning environment with great exposure to the latest Tech trend', 'Attractive & competitive salary and benefits', 'Excellent and fast track career development path based on performance', 'Please write in to\xa0christy.so @recruit","Design, Web Designer, Information Technology (IT), Others, UI/UX Designer","['Fast Growing Company / Attractive working culture', 'Flexible working hours / welcome 1-3 years exp', 'Become part of our talented and core team members']",/hk/en/job/ui-ux-designer-100003008833521,UI UX Designer,"Full Time, Permanent",Degree,Not Specified,UI UX Designer,,,1,,1,,1,,,,1
Not Specified,Entry,Nesta (Hong Kong) Limited,Not Specified,JobsDB,10-21-2021,22-10-2021,,,Human Resources Management/Consultancy,"['Our client is a fast growing digital media company specializing in Hong Kong. They are now seeking for a high caliber to join their team as\xa0UI/UX Designer', 'Responsibilities:', 'Gather and evaluate user requirements in collaboration with internal user', 'Illustrate design ideas using storyboards, process flows and sitemaps', 'Design graphic user interface elements, like menus, tabs and widgets', 'Build page navigation buttons and search fields', 'Develop UI mock-ups and prototypes that clearly illustrate how sites function and look like', 'Create original graphic designs', 'Prepare and present rough drafts to internal teams and key stakeholders', 'Identify and troubleshoot UX problems', 'Conduct layout adjustments based on user feedback', 'Requirements:', '1+ years of experience as a UI/UX Designer or similar role', 'Portfolio of design projects', 'Experience with HTML5 / CSS3 / Photoshop / Illustrator / InDesign / XD / Sketch', 'Up-to-date knowledge of design software like Adobe Illustrator and Photosh","Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Great Career Exposure and Development', 'Welcome Fresh Grad', 'Web & Mobile Apps Development']",/hk/en/job/ui-ux-designer-digital-media-web-mobile-apps-welcome-fresh-grad-100003008831321,UI/UX Designer ( Digital Media - Web & Mobile Apps ) Welcome Fresh Grad,"Full Time, Permanent",Degree,HK$17K - 25K /month ,UI UX Designer,21,,1,,1,1,,,17,25,3
Not Specified,Middle,Theta Tech Limited,Not Specified,JobsDB,10-21-2021,22-10-2021,,,Information Technology,"['Theta Tech is a financial technology company whose mission is to build systems that help democratize and modernize finance.', 'We are looking for a UI/UX Designer to join our expanding team. You will have the opportunity to assist in our product design-related efforts, including user research, prototyping, testing, and iterating on appealing and consistent products. As a UI/UX Designer, you will be one of the key creators of our NFT project on various products, focusing especially on an aesthetically pleasing and user-friendly NFT experience.\xa0', 'Responsibilities', '・Develop components to form a consistent UI/UX design system, maintain a component design library, best practices, and processes to ensure design consistency across Blockswap products.', '・Work closely with the Engineering team to ensure the technical feasibility of your proposed prototypes and validate them with internal stakeholders before it goes into development.', '・Provide support to marketing and brand design efforts. Implement accessi","Information Technology (IT), UI/UX Designer","['5days work, medical insurance', 'Fast growing start-up, dynamic work culture', 'Fintech ,NFT, blockchain']",/hk/en/job/ui-ux-designer-100003008825941,UI/UX Designer,Full Time,Degree,Not Specified,UI UX Designer,,,1,1,1,,1,,,,3
